author_name,total_commits,total_merges,insertions,deletions,total_changes,most_commits,most_merges,most_changes
Angel,1,1,13122,0,13122,False,False,False
Angel Zeng,18,2,13815,2290,16105,False,False,False
ChrisHorler,76,0,3683,1080,4763,False,False,False
Christian Scott Horler,57,57,10342,5019,15361,False,True,False
JurPurr,36,1,5423,1722,7145,False,False,False
Martijn,59,57,65906,9303,75209,False,False,True
OldMartijntje_Frituurpan,8,1,1298,1146,2444,False,False,False
OldMartijntje_ubuntu,21,5,4430,2810,7240,False,False,False
oldmartijntje_TH,94,13,7263,1809,9072,True,False,False
whoskhoi,24,0,698,559,1257,False,False,False
